Time,Gx,Gy,Gz,Ax,Ay,Az
2019-01-28 22:41:01:411,-0.141571,-0.094025,-0.122726,0.000000,0.000000,0.000000
2019-01-28 22:41:01:411,-0.141571,-0.094025,-0.122726,-0.393250,0.981079,9.551498
2019-01-28 22:41:01:411,-0.141571,-0.094025,-0.122726,-0.705521,0.971512,9.771637
2019-01-28 22:41:01:411,-0.141571,-0.094025,-0.122726,-0.410004,1.067230,9.506027
2019-01-28 22:41:01:411,-0.141571,-0.094025,-0.122726,0.300674,1.383087,8.730759
2019-01-28 22:41:01:411,-0.141571,-0.094025,-0.122726,0.600967,1.013382,9.166245
2019-01-28 22:41:01:411,-0.141571,-0.094025,-0.122726,0.419113,0.909302,9.135147
2019-01-28 22:41:01:411,-0.141571,-0.094025,-0.122726,0.169067,1.148590,8.751099
2019-01-28 22:41:01:411,-0.141571,-0.094025,-0.122726,-0.262848,0.987061,9.872131
2019-01-28 22:41:01:411,-0.141571,-0.094025,-0.122726,-1.066833,0.735825,10.587585
2019-01-28 22:41:01:411,-0.141571,-0.094025,-0.122726,-1.280991,0.140015,10.034851
2019-01-28 22:41:01:411,-0.141571,-0.094025,-0.122726,-0.794052,-0.191406,9.419891
2019-01-28 22:41:01:411,-0.141571,-0.094025,-0.122726,-0.290359,-0.534775,9.352890
2019-01-28 22:41:01:411,-0.141571,-0.094025,-0.122726,-0.037918,-1.134171,9.817093
2019-01-28 22:41:01:411,-0.141571,-0.094025,-0.122726,-0.214981,-1.103073,10.424881
2019-01-28 22:41:01:411,-0.141571,-0.094025,-0.122726,-0.752182,-0.677155,10.892670
2019-01-28 22:41:01:411,-0.141571,-0.094025,-0.122726,-1.489166,0.058655,11.399948
2019-01-28 22:41:01:411,-0.141571,-0.094025,-0.122726,-2.441513,0.570709,11.687088
2019-01-28 22:41:01:411,-0.141571,-0.094025,-0.122726,-2.827942,0.262039,11.553085
2019-01-28 22:41:01:411,-0.141571,-0.094025,-0.122726,-1.685379,-0.275162,9.258377
2019-01-28 22:41:01:411,-0.141571,-0.094025,-0.122726,0.110443,-0.739365,7.718597
