Time,Gx,Gy,Gz,Ax,Ay,Az
2019-01-28 23:02:38:238,0.000000,0.000000,0.000000,-0.496140,0.361343,11.227676
2019-01-28 23:02:38:238,0.000000,0.000000,0.000000,-0.340607,0.693939,12.197968
2019-01-28 23:02:39:239,0.000000,0.000000,0.000000,-0.165939,0.906906,11.536346
2019-01-28 23:02:39:239,0.000000,0.000000,0.000000,0.093689,0.856659,10.392578
2019-01-28 23:02:39:239,0.000000,0.000000,0.000000,-0.510498,0.737015,11.207336
2019-01-28 23:02:39:239,0.000000,0.000000,0.000000,-0.601425,1.172501,9.940323
2019-01-28 23:02:39:239,0.000000,0.000000,0.000000,0.064987,1.182083,9.314606
2019-01-28 23:02:39:239,0.000000,0.000000,0.000000,0.227692,1.417770,9.410324
2019-01-28 23:02:39:239,0.000000,0.000000,0.000000,-0.273605,1.733627,9.190186
2019-01-28 23:02:39:239,-0.108231,-0.237503,0.019775,-0.273605,1.733627,9.190186
2019-01-28 23:02:39:239,-0.108231,-0.237503,0.019775,-0.557159,2.191849,9.203339
2019-01-28 23:02:39:239,-0.108231,-0.237503,0.019775,-0.743805,1.959747,9.197357
2019-01-28 23:02:39:239,-0.108231,-0.237503,0.019775,-0.419586,1.155762,9.874527
2019-01-28 23:02:39:239,-0.108231,-0.237503,0.019775,0.090103,0.490555,10.062363
2019-01-28 23:02:39:239,-0.108231,-0.237503,0.019775,0.465775,0.496536,9.634048
2019-01-28 23:02:39:239,-0.108231,-0.237503,0.019775,0.252808,0.824356,9.013107
2019-01-28 23:02:39:239,-0.108231,-0.237503,0.019775,-0.073807,1.154556,7.399155
2019-01-28 23:02:39:239,-0.108231,-0.237503,0.019775,-0.429153,1.103119,7.869339
2019-01-28 23:02:39:239,-0.108231,-0.237503,0.019775,-1.160156,1.468018,9.240433
2019-01-28 23:02:39:239,-0.108231,-0.237503,0.019775,1.050827,0.041901,10.362671
2019-01-28 23:02:39:239,0.027512,0.024597,-0.090591,1.050827,0.041901,10.362671
2019-01-28 23:02:39:239,0.027512,0.024597,-0.090591,-1.206818,1.411789,10.496658
2019-01-28 23:02:39:239,0.027512,0.024597,-0.090591,-1.385071,1.179688,10.109024
2019-01-28 23:02:39:239,0.027512,0.024597,-0.090591,-1.034531,1.098343,10.531357
2019-01-28 23:02:39:239,0.027512,0.024597,-0.090591,-0.576309,0.906906,10.673737
2019-01-28 23:02:39:239,0.027512,0.024597,-0.090591,0.642853,-0.205765,10.086288
2019-01-28 23:02:39:239,0.027512,0.024597,-0.090591,1.363083,0.330231,9.416306
2019-01-28 23:02:39:239,0.027512,0.024597,-0.090591,0.606949,0.788467,8.802551
2019-01-28 23:02:39:239,0.027512,0.024597,-0.090591,0.013535,0.954758,8.588379
2019-01-28 23:02:39:239,0.027512,0.024597,-0.090591,-0.212601,1.122253,9.095673
2019-01-28 23:02:39:239,-0.019104,-0.213074,-0.118088,-0.212601,1.122253,9.095673
2019-01-28 23:02:39:239,-0.019104,-0.213074,-0.118088,-0.015182,1.616379,9.294266
2019-01-28 23:02:39:239,-0.019104,-0.213074,-0.118088,0.667969,1.319672,9.590973
2019-01-28 23:02:39:239,-0.019104,-0.213074,-0.118088,0.610535,0.455856,8.900650
