Time,Gx,Gy,Gz,Ax,Ay,Az
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,0.000000,0.000000,0.000000
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,-1.319275,3.351181,9.430664
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,-1.284576,3.393051,8.777420
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,-1.380295,3.537811,8.629059
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,-1.484390,3.558151,8.958069
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,-1.246292,3.281784,9.581406
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,-1.105118,3.003021,9.513214
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,-0.856262,2.916870,9.562271
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,-0.942413,2.980286,9.218903
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,-0.934036,3.065231,9.143524
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,-1.038116,3.114288,8.846817
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,-0.881393,2.938416,8.765457
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,-0.717484,2.846283,8.792969
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,-0.608612,2.828339,9.205734
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,-0.768921,2.875000,9.606522
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,-0.794052,2.770920,9.713013
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,-0.640915,2.690750,9.830261
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,-0.547592,2.639313,9.612518
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,-0.548782,2.610596,9.221283
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,-0.484177,2.520859,9.229660
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,-0.496140,2.445496,9.594574
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,-0.475800,2.388062,9.777618
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,-0.382477,2.470612,9.724976
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,-0.493759,2.389267,9.491669
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,0.518417,1.917877,9.199753
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,0.062592,1.958557,9.774033
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,-0.626556,3.036514,9.693863
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,-0.822769,2.711090,9.288284
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,0.304260,2.785263,8.656586
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,-0.577499,1.960953,9.454590
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,-0.706711,1.898727,9.521576
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,-0.650482,2.120071,9.214111
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,-0.283188,2.202621,9.215302
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,-0.571518,2.353363,9.331360
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,-1.133835,2.240906,9.613708
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,-0.831146,2.286377,9.244019
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,-0.072617,2.060242,9.513214
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,0.365280,1.725250,10.050400
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,0.274353,1.779083,10.290878
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,0.020706,2.002823,10.514603
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,0.014725,1.964523,9.995361
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,-0.102524,1.430939,9.096863
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,0.312637,1.825745,9.702240
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,0.404770,1.643890,9.334946
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,0.190598,1.981293,9.641235
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,-0.133636,1.898727,9.827866
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,-0.158752,1.844894,9.654388
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,-0.497345,1.594849,9.437836
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,-0.905319,1.964539,8.828873
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,-0.773712,2.254074,8.471146
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,-0.122864,2.112885,9.167450
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,0.297089,2.103317,9.716599
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,0.845032,2.057861,10.288483
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,0.166672,1.458450,10.271729
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,-0.229340,1.472809,9.825470
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,-0.310699,1.563736,9.244019
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,-0.534439,1.655869,9.308624
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,-0.295151,1.719269,9.663956
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,-0.182693,1.402222,9.480911
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,-0.248489,1.636719,9.389984
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,-0.331039,1.499130,9.252396
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,-0.013992,1.355560,9.783600
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,0.087708,1.344803,9.760864
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,0.240845,1.322067,9.745316
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,0.099670,1.268219,10.131760
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,-0.071411,1.137817,10.165253
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,-0.040314,1.172516,9.986984
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,0.011139,1.147385,9.784805
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,0.000381,1.247879,9.858978
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,-0.200638,1.292145,9.714203
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,-0.236526,1.274200,9.646011
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,-0.230545,1.201218,9.768051
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,-0.182693,1.275406,9.677124
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,-0.565536,1.306503,7.017502
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,-0.340622,1.215576,9.086090
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,0.131973,1.088760,10.208328
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,-0.213791,1.038513,10.940521
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,-0.064240,1.150970,10.247818
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,-0.140808,1.185669,9.525177
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,-0.066635,1.112686,9.354095
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,0.025497,1.069611,9.464157
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,-0.024765,0.945190,9.502441
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,-0.037918,0.842300,9.653183
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,0.078140,0.789658,9.912811
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,0.155899,0.741806,10.030060
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,0.228882,0.723846,9.975021
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,0.226501,0.760941,9.887680
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,0.161880,0.839905,9.715408
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,0.165482,0.932037,9.614914
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,0.161880,0.924850,9.631653
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,0.135574,0.851868,9.672333
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,0.091293,0.777695,9.732162
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,0.139160,0.716675,9.863770
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,0.164276,0.702316,9.835052
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,0.159485,0.689163,9.817093
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,0.153519,0.658051,9.807526
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,0.222900,0.603012,9.844620
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,0.277939,0.620956,9.912811
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,0.134369,0.656860,9.815903
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,-0.009201,0.756165,9.619690
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,-0.010406,0.802811,9.528763
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,0.145142,0.722656,9.684296
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,0.185806,0.622162,9.850601
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,0.002762,0.593445,8.627869
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,0.074554,0.777695,10.422485
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,-0.073807,0.824356,9.931946
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,-0.226959,0.899734,9.801544
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,-0.078598,0.831528,9.782410
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,0.213333,0.731033,9.570648
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,0.257599,0.726242,9.630463
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,0.195389,0.738205,9.802750
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,0.182220,0.709503,9.841034
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,0.173859,0.751373,9.778809
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,0.250427,0.778885,9.723785
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,0.177444,0.814774,9.717804
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,0.112839,0.782471,9.690277
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,0.279129,0.722656,9.662766
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,0.353317,0.737015,9.685501
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,0.285126,0.812393,9.739334
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,0.086517,0.800415,9.714203
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,0.088913,0.770508,9.692673
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,0.367676,0.707108,9.777618
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,0.522003,0.708298,9.693878
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,0.484924,0.707108,9.582611
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,0.277939,0.710693,9.586197
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,0.121216,0.782486,9.630463
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,0.049423,0.826752,9.647202
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,0.190598,0.769318,9.707031
2019-01-28 22:53:54:5354,-0.023804,0.079086,-0.145264,0.244446,0.766922,9.720184
