Time,Gx,Gy,Gz,Ax,Ay,Az
2019-01-28 22:37:08:378,0.005569,-0.026459,0.001526,0.000000,0.000000,0.000000
2019-01-28 22:37:08:378,0.005569,-0.026459,0.001526,-1.371918,-2.170273,8.654190
2019-01-28 22:37:08:378,0.005569,-0.026459,0.001526,-0.597839,-2.031494,10.146118
2019-01-28 22:37:08:378,0.005569,-0.026459,0.001526,0.167877,-2.000381,10.959671
2019-01-28 22:37:08:378,0.005569,-0.026459,0.001526,-0.113297,-2.411942,10.113815
2019-01-28 22:37:08:378,0.005569,-0.026459,0.001526,-0.522476,-1.538559,10.294464
2019-01-28 22:37:08:378,0.005569,-0.026459,0.001526,0.833069,0.111282,10.818497
2019-01-28 22:37:08:378,0.005569,-0.026459,0.001526,2.108444,1.152176,11.938339
2019-01-28 22:37:08:378,0.005569,-0.026459,0.001526,3.929382,7.483582,9.472534
2019-01-28 22:37:08:378,0.005569,-0.026459,0.001526,1.579636,13.075607,7.579803
2019-01-28 22:37:08:378,0.005569,-0.026459,0.001526,1.221909,8.334229,7.942322
2019-01-28 22:37:08:378,0.005569,-0.026459,0.001526,-0.214981,2.952774,8.907822
2019-01-28 22:37:08:378,0.005569,-0.026459,0.001526,-0.402832,-0.174652,9.070541
2019-01-28 22:37:08:378,0.005569,-0.026459,0.001526,0.391602,-1.891510,9.218887
2019-01-28 22:37:08:378,0.005569,-0.026459,0.001526,1.544937,-3.348740,10.148499
2019-01-28 22:37:08:378,0.005569,-0.026459,0.001526,2.723404,-4.332184,10.880707
2019-01-28 22:37:08:378,0.005569,-0.026459,0.001526,4.728592,-4.515244,11.592575
2019-01-28 22:37:08:378,0.005569,-0.026459,0.001526,6.672760,-4.158707,12.184799
2019-01-28 22:37:08:378,0.005569,-0.026459,0.001526,7.832077,-4.027100,13.080902
2019-01-28 22:37:08:378,0.005569,-0.026459,0.001526,4.113632,-1.950134,13.576233
2019-01-28 22:37:08:378,0.005569,-0.026459,0.001526,0.792389,-0.269180,12.122589
2019-01-28 22:37:08:378,0.005569,-0.026459,0.001526,0.682327,-0.533585,10.868744
2019-01-28 22:37:08:378,0.005569,-0.026459,0.001526,0.880936,-1.328003,10.059967
2019-01-28 22:37:08:378,0.005569,-0.026459,0.001526,0.317413,-1.266983,9.754883
2019-01-28 22:37:08:378,0.005569,-0.026459,0.001526,0.561493,-0.677155,10.113800
2019-01-28 22:37:08:378,0.005569,-0.026459,0.001526,1.470764,-0.282333,10.245422
2019-01-28 22:37:08:378,0.005569,-0.026459,0.001526,1.925400,-0.080139,9.801544
2019-01-28 22:37:08:378,0.005569,-0.026459,0.001526,1.475540,0.157944,8.702042
